letter_dv,letter_en,name_dv,name_en
ހއ,HA,ތިލަދުންމަތީ އުތުރުބުރި,Thiladhunmathi Uthuruburi
ހދ,HDh,ތިލަދުންމަތީ ދެކުނުބުރި,Thiladhunmathi Dhekunuburi
ށ,Sh,މިލަދުންމަޑުލު އުތުރުބުރި,Miladhunmadulu Uthuruburi
ނ,N,މިލަދުންމަޑުލު ދެކުނުބުރި,Miladhunmadulu Dhekunuburi
ރ,R,މާޅޮސްމަޑުލު އުތުރުބުރި,Maalhosmadulu Uthuruburi
ބ,B,މާޅޮސްމަޑުލު ދެކުނުބުރި,Maalhosmadulu Dhekunuburi
ޅ,Lh,ފާދިއްޕޮޅު,Faadhippolhu
ކ,K,މާލެ އަތޮޅު,Male Atholhu
އއ,AA,އަރި އަތޮޅު އުތުރުބުރި,Ari Atholhu Uthuruburi
އދ,ADh,އަރި އަތޮޅު ދެކުނުބުރި,Ari Atholhu Dhekunuburi
ވ,V,ފެލިދޫ އަތޮޅު,Felidhe Atholhu
މ,M,މުލަކު އަތޮޅު,Mulaku Atholhu
ފ,F,ނިލަންދެ އަތޮޅު އުތުރުބުރި,Nilandhe Atholhu Uthuruburi
ދ,Dh,ނިލަންދެ އަތޮޅު ދެކުނުބުރި,Nilandhe Atholhu Dhekunuburi
ތ,Th,ކޮޅުމަޑުލު,Kolhumadulu
ލ,L,ހައްދުންމަތި,Hahdhunmathi
ގއ,GA,ހުވަދޫ އަތޮޅު އުތުރުބުރި,Huvadhu Atholhu Uthuruburi
ގދ,GDh,ހުވަދޫ އަތޮޅު ދެކުނުބުރި,Huvadhu Atholhu Dhekunuburi
ޏ,Gn,ފުވައްމުލައް,Fuvahmulah
ސ,S,އައްޑޫ ސިޓީ,Addu City
