name_dv,name_en,org_code,court_code
ހއ. ތުރާކުނު މެޖިސްޓްރޭޓު ކޯޓު,HA. Thuraakunu Magistrate Court,A1C,A1C
ހއ. އުލިގަމު މެޖިސްޓްރޭޓު ކޯޓު,HA. Uligamu Magistrate Court,A2C,A2C
ހއ. މޮޅަދޫ މެޖިސްޓްރޭޓު ކޯޓު,HA. Molhadhoo Magistrate Court,A5C,A5C
ހއ. ހޯރަފުށީ މެޖިސްޓްރޭޓު ކޯޓު,HA. Hoarafushi Magistrate Court,A6C,A6C
ހއ. އިހަވަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,HA. Ihavandhoo Magistrate Court,A7C,A7C
ހއ. ކެލާ މެޖިސްޓްރޭޓު ކޯޓު,HA. Kelaa Magistrate Court,A8C,A8C
ހއ. ވަށަފަރު މެޖިސްޓްރޭޓު ކޯޓު,HA. Vashafaru Magistrate Court,A9C,A9C
ހއ. ދިއްދޫ މެޖިސްޓްރޭޓު ކޯޓު,HA. Dhidhdhoo Magistrate Court,A10C,A10C
ހއ. ފިއްލަދޫ މެޖިސްޓްރޭޓު ކޯޓު,HA. Filladhoo Magistrate Court,A11C,A11C
ހއ. މާރަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,HA. Maarandhoo Magistrate Court,A12C,A12C
ހއ. ތަކަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,HA. Thakandhoo Magistrate Court,A13C,A13C
ހއ. އުތީމު މެޖިސްޓްރޭޓު ކޯޓު,HA. Utheemu Magistrate Court,A14C,A14C
ހއ. މުރައިދޫ މެޖިސްޓްރޭޓު ކޯޓު,HA. Muraidhoo Magistrate Court,A15C,A15C
ހއ. ބާރަށު މެޖިސްޓްރޭޓު ކޯޓު,HA. Baarah Magistrate Court,A16C,A16C
ހދ. ހަނިމާދޫ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Hanimaadhoo Magistrate Court,B3C,B3C
ހދ. ފިނޭ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Finey Magistrate Court,B4C,B4C
ހދ. ނައިވާދޫ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Naivaadhoo Magistrate Court,B5C,B5C
ހދ. ނެއްލައިދޫ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Nellaidhoo Magistrate Court,B8C,B8C
ހދ. ހިރިމަރަދޫ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Hirimaradhoo Magistrate Court,B6C,B6C
ހދ. ނޮޅިވަރަންފަރު މެޖިސްޓްރޭޓު ކޯޓު,HDh. Nolhivaranfaru Magistrate Court,B7C,B7C
ހދ. ނޮޅިވަރަމު މެޖިސްޓްރޭޓު ކޯޓު,HDh. Nolhivaramu Magistrate Court,B9C,B9C
ހދ. ކުރިނބީ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Kuribi Magistrate Court,B10C,B10C
ހދ. ކުޅުދުއްފުށީ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Kulhudhuffushi Magistrate Court,B12C,B12C
ހދ. ކުމުންދޫ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Kumundhoo Magistrate Court,B13C,B13C
ހދ. ނޭކުރެންދޫ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Neykurendhoo Magistrate Court,B14C,B14C
ހދ. ވައިކަރަދޫ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Vaikaradhoo Magistrate Court,B15C,B15C
ހދ. މަކުނުދޫ މެޖިސްޓްރޭޓު ކޯޓު,HDh. Makunudhoo Magistrate Court,B17C,B17C
ށ. ނޫމަރާ މެޖިސްޓްރޭޓު ކޯޓު,Sh. Noomaraa Magistrate Court,C2C,C2C
ށ. ކަނޑިތީމު މެޖިސްޓްރޭޓު ކޯޓު,Sh. Kanditheemu Magistrate Court,C1C,C1C
ށ. ގޮއިދޫ މެޖިސްޓްރޭޓު ކޯޓު,Sh. Goidhoo Magistrate Court,C3C,C3C
ށ. ފޭދޫ މެޖިސްޓްރޭޓު ކޯޓު,Sh. Feydhoo Magistrate Court,C4C,C4C
ށ. ފީވަކު މެޖިސްޓްރޭޓު ކޯޓު,Sh. Feevah Magistrate Court,C5C,C5C
ށ. ބިލެތްފަހި މެޖިސްޓްރޭޓު ކޯޓު,Sh. Bilehffahi Magistrate Court,C6C,C6C
ށ. ފޯކައިދޫ މެޖިސްޓްރޭޓު ކޯޓު,Sh. Foakaidhoo Magistrate Court,C7C,C7C
ށ. ނަރުދޫ މެޖިސްޓްރޭޓު ކޯޓު,Sh. Narudhoo Magistrate Court,C8C,C8C
ށ. މިލަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,Sh. Milandhoo Magistrate Court,C16C,C16C
ށ. މަރޮށި މެޖިސްޓްރޭޓު ކޯޓު,Sh. Maroshi Magistrate Court,C10C,C10C
ށ. ޅައިމަގު މެޖިސްޓްރޭޓު ކޯޓު,Sh. Lhaimagu Magistrate Court,C11C,C11C
ށ. ފުނަދޫ މެޖިސްޓްރޭޓު ކޯޓު,Sh. Funadhoo Magistrate Court,C15C,C15C
ށ. ކޮމަންޑޫ މެޖިސްޓްރޭޓު ކޯޓު,Sh. Komandoo Magistrate Court,C13C,C13C
ށ. މާއުނގޫދޫ މެޖިސްޓްރޭޓު ކޯޓު,Sh. Maaugoodhoo Magistrate Court,C14C,C14C
ނ. ހެނބަދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Henbadhoo Magistrate Court,D2C,D2C
ނ. ކެނދިކުޅުދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Kendhikulhudhoo Magistrate Court,D3C,D3C
ނ. ވެލިދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Velidhoo Magistrate Court,D15C,D15C
ނ. މާޅެންދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Maalhendhoo Magistrate Court,D5C,D5C
ނ. ކުޑަފަރީ މެޖިސްޓްރޭޓު ކޯޓު,N. Kudafari Magistrate Court,D6C,D6C
ނ. ލަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Landhoo Magistrate Court,D7C,D7C
ނ. މާފަރު މެޖިސްޓްރޭޓު ކޯޓު,N. Maafaru Magistrate Court,D8C,D8C
ނ. ޅޮހީ މެޖިސްޓްރޭޓު ކޯޓު,N. Lhohi Magistrate Court,D9C,D9C
ނ. މިލަދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Miladhoo Magistrate Court,D10C,D10C
ނ. މަގޫދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Magoodhoo Magistrate Court,D11C,D11C
ނ. މަނަދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Manadhoo Magistrate Court,D12C,D12C
ނ. ހޮޅުދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Holhudhoo Magistrate Court,D13C,D13C
ނ. ފޮއްދޫ މެޖިސްޓްރޭޓު ކޯޓު,N. Fodhdhoo Magistrate Court,D14C,D14C
ރ. އަލިފުށީ މެޖިސްޓްރޭޓު ކޯޓު,R. Alifushi Magistrate Court,E1C,E1C
ރ. ވާދޫ މެޖިސްޓްރޭޓު ކޯޓު,R. Vaadhoo Magistrate Court,E2C,E2C
ރ. ރަސްގެތީމު މެޖިސްޓްރޭޓު ކޯޓު,R. Rasgetheemu Magistrate Court,E3C,E3C
ރ. އަނގޮޅިތީމު މެޖިސްޓްރޭޓު ކޯޓު,R. Angolhitheemu Magistrate Court,E4C,E4C
ރ. ހުޅުދުއްފާރު މެޖިސްޓްރޭޓު ކޯޓު,R. Hulhudhuffaaru Magistrate Court,E18C,E18C
ރ. އުނގޫފާރު މެޖިސްޓްރޭޓު ކޯޓު,R. Ugoofaaru Magistrate Court,E7C,E7C
ރ. ދުވާފަރު މެޖިސްޓްރޭޓު ކޯޓު,R. Dhuvaafaru Magistrate Court,E8C,E8C
ރ. މާކުރަތު މެޖިސްޓްރޭޓު ކޯޓު,R. Maakurathu Magistrate Court,E9C,E9C
ރ. ރަސްމާދޫ މެޖިސްޓްރޭޓު ކޯޓު,R. Rasmaadhoo Magistrate Court,E10C,E10C
ރ. އިންނަމާދޫ މެޖިސްޓްރޭޓު ކޯޓު,R. Innamaadhoo Magistrate Court,E11C,E11C
ރ. މަޑުއްވަރީ މެޖިސްޓްރޭޓު ކޯޓު,R. Maduvvari Magistrate Court,E12C,E12C
ރ. އިނގުރައިދޫ މެޖިސްޓްރޭޓު ކޯޓު,R. Inguraidhoo Magistrate Court,E13C,E13C
ރ. މީދޫ މެޖިސްޓްރޭޓު ކޯޓު,R. Meedhoo Magistrate Court,E16C,E16C
ރ. ފައިނު މެޖިސްޓްރޭޓު ކޯޓު,R. Fainu Magistrate Court,E14C,E14C
ރ. ކިނޮޅަހު މެޖިސްޓްރޭޓު ކޯޓު,R. Kinolhas Magistrate Court,E17C,E17C
ބ. ކުޑަރިކިލު މެޖިސްޓްރޭޓު ކޯޓު,B. Kudarikilu Magistrate Court,F1C,F1C
ބ. ކަމަދޫ މެޖިސްޓްރޭޓު ކޯޓު,B. Kamadhoo Magistrate Court,F2C,F2C
ބ. ކެންދޫ މެޖިސްޓްރޭޓު ކޯޓު,B. Kendhoo Magistrate Court,F3C,F3C
ބ. ކިހާދޫ މެޖިސްޓްރޭޓު ކޯޓު,B. Kihaadhoo Magistrate Court,F6C,F6C
ބ. ދޮންފަނު މެޖިސްޓްރޭޓު ކޯޓު,B. Dhonfanu Magistrate Court,F7C,F7C
ބ. ދަރަވަންދޫ މެޖިސްޓްރޭޓު ކޯޓު,B. Dharavandhoo Magistrate Court,F8C,F8C
ބ. މާޅޮހު މެޖިސްޓްރޭޓު ކޯޓު,B. Maalhos Magistrate Court,F9C,F9C
ބ. އޭދަފުށީ މެޖިސްޓްރޭޓު ކޯޓު,B. Eydhafushi Magistrate Court,F10C,F10C
ބ. ތުޅާދޫ މެޖިސްޓްރޭޓު ކޯޓު,B. Thulhaadhoo Magistrate Court,F12C,F12C
ބ. ހިތާދޫ މެޖިސްޓްރޭޓު ކޯޓު,B. Hithaadhoo Magistrate Court,F13C,F13C
ބ. ފުޅަދޫ މެޖިސްޓްރޭޓު ކޯޓު,B. Fulhadhoo Magistrate Court,F14C,F14C
ބ. ފެހެންދޫ މެޖިސްޓްރޭޓު ކޯޓު,B. Fehendhoo Magistrate Court,F15C,F15C
ބ. ގޮއިދޫ މެޖިސްޓްރޭޓު ކޯޓު,B. Goidhoo Magistrate Court,F16C,F16C
