atoll,name_dv,name_en,island_code,feature_code,longitude,latitude
HA,ތުރާކުނު,Thuraakunu,A1,LD0915,72.899306,7.104315
HA,އުލިގަމު,Uligamu,A2,LD0488,72.927468,7.081878
HA,މޮޅަދޫ,Molhadhoo,A5,LD0901,72.998091,7.012298
HA,ހޯރަފުށި,Hoarafushi,A6,LD0246,72.894922,6.983055
HA,އިހަވަންދޫ,Ihavandhoo,A7,LD0908,72.926205,6.953048
HA,ކެލާ,Kelaa,A8,LD0563,73.216153,6.954771
HA,ވަށަފަރު,Vashafaru,A9,LD0232,73.158705,6.896435
HA,ދިއްދޫ,Dhidhdhoo,A10,LD0568,73.110675,6.891801
HA,ފިއްލަދޫ,Filladhoo,A11,LD0993,73.228052,6.874902
HA,މާރަންދޫ,Maarandhoo,A12,LD0695,72.984198,6.852627
HA,ތަކަންދޫ,Thakandhoo,A13,LD0984,72.99553,6.84401
HA,އުތީމު,Utheemu,A14,LD0507,73.112703,6.834831
HA,މުރައިދޫ,Muraidhoo,A15,LD0701,73.167273,6.837962
HA,ބާރަށް,Baarah,A16,LD0987,73.212729,6.818637
HDh,ފަރިދޫ,Faridhoo,B1,LD1018,73.054074,6.784982
HDh,ހަނިމާދޫ,Hanimaadhoo,B3,LD0235,73.175404,6.76133
HDh,ފިނޭ,Finey,B4,LD0441,73.053283,6.745904
HDh,ނައިވާދޫ,Naivaadhoo,B5,LD0710,72.934992,6.746861
HDh,ނެއްލައިދޫ,Nellaidhoo,B8,LD0698,72.946901,6.714911
HDh,ހިރިމަރަދޫ,Hirimaradhoo,B6,LD0199,73.024126,6.724795
HDh,ނޮޅިވަރަންފަރު,Nolhivaranfaru,B7,LD0416,73.120773,6.698661
HDh,ނޮޅިވަރަމު,Nolhivaramu,B9,LD0658,73.082259,6.662332
HDh,ކުރިނބީ,Kuribi,B10,LD0852,72.996687,6.665575
HDh,ކުނބުރުދޫ,Kuburudhoo,B11,LD1040,73.027411,6.65827
HDh,ކުޅުދުއްފުށި,Kulhudhuffushi,B12,LD0048,73.069118,6.623258
HDh,ކުމުންދޫ,Kumundhoo,B13,LD0541,73.052326,6.572089
HDh,ނޭކުރެންދޫ,Neykurendhoo,B14,LD0686,72.979722,6.542973
HDh,ވައިކަރަދޫ,Vaikaradhoo,B15,LD0406,72.953221,6.549698
HDh,މާވައިދޫ,Maavaidhoo,B16,LD0708,73.053985,6.515502
HDh,މަކުނުދޫ,Makunudhoo,B17,LD0699,72.705094,6.409584
Sh,ނޫމަރާ,Noomaraa,C2,LD0985,73.069098,6.43422
Sh,ކަނޑިތީމު,Kanditheemu,C1,LD1092,72.916462,6.440347
Sh,ގޮއިދޫ,Goidhoo,C3,LD0836,72.929954,6.43008
Sh,ފޭދޫ,Feydhoo,C4,LD1100,73.048799,6.360653
Sh,ފީވައް,Feevah,C5,LD1149,73.209241,6.348927
Sh,ބިލެތްފަހި,Bilehffahi,C6,LD1064,72.974861,6.337788
Sh,ފޯކައިދޫ,Foakaidhoo,C7,LD0646,73.149331,6.326647
Sh,ނަރުދޫ,Narudhoo,C8,LD0551,73.218116,6.264333
Sh,މިލަންދޫ,Milandhoo,C16,LD0525,73.244537,6.286048
Sh,މަރޮށި,Maroshi,C10,LD1144,73.061259,6.209576
Sh,ޅައިމަގު,Lhaimagu,C11,LD0978,73.251397,6.164071
Sh,ފުނަދޫ,Funadhoo,C15,LD0863,73.289674,6.152454
Sh,ކޮމަންޑޫ,Komandoo,C13,LD1058,73.054302,6.054146
Sh,މާއުނގޫދޫ,Maaugoodhoo,C14,LD0016,73.283838,6.036741
N,ހެނބަދޫ,Henbadhoo,D2,LD0962,73.392984,5.967555
